x, y
0.5017301038062280,0
0.8088235294117650,0
0.9472318339100350,0.16260162601626000
0.9948096885813150,1.3008130081300800
1.0352683314180900,3.5276980516387200
1.0612198918287100,6.454527319931400
1.095821972376190,9.218754962207830
1.1347493129921100,13.60899886464690
1.1650261334711600,11.820380978468000
1.1996282140186500,7.104933823996440
1.2342302945661300,4.34070618172002
1.2861334153873600,5.478917563833840
1.3077597157295400,7.430137076028960
1.3380365362085900,8.405746832126530
1.3726386167560800,6.779730571963920
1.3942649170982500,4.8285110597688
1.4245417375773000,3.5276980516387200
1.454818558056350,5.153714311801320
1.480770118466970,6.942332197980180
1.5023964188091500,8.568348458142780
1.541323759425070,10.194364718305400
1.5845763601094200,7.104933823996440
1.6062026604516000,4.8285110597688
1.6321542208622200,4.0155029296875
1.666756301409700,4.8285110597688
1.7013583819571900,6.6171289459476600
1.7359604625046700,8.893551710175300
1.7359604625046700,8.893551710175300
1.779213063189030,7.5927387020452200
1.8311161840102600,5.478917563833840
1.8700435246261800,7.5927387020452200
1.908970865242100,9.869161466272870
1.9738497662686400,8.080543580094000
2.0171023669529900,5.804120815866360
2.1382096488691900,8.568348458142780
2.211739070032600,7.104933823996440
2.315545311675060,9.869161466272870
2.402050513043770,8.243145206110260
2.4799051942756100,11.820380978468000